State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Andhra Pradesh,Polavaram,791,Chinturu,4732,Yerrakondapakalu,యెర్రకొండపాకలు,transliterated,579220,533347,,
Andhra Pradesh,Annamayya,753,Kalakada,5371,Yerrakotapalle,యెర్రకోటపల్లె,authoritative,595665,517236,,
Andhra Pradesh,Y.S.R. Kadapa,504,T.Sundupalle,5238,Yerramanenipalem,యెర్రమనేనిపాలెం,transliterated,593516,516130,,
Andhra Pradesh,Polavaram,791,Devipatnam,4885,Yerrametla,యెర్రమెట్ల,transliterated,586617,533288,,
Andhra Pradesh,Alluri Sitharama Raju,745,Ananthagiri,4845,Yerrametta,ఎర్రమెట్ట,authoritative,584285,535145,,
Andhra Pradesh,Polavaram,791,Rajavommangi,4888,Yerrampadu,యెర్రంపదు,transliterated,586916,533436,,
Andhra Pradesh,Polavaram,791,Gangavaram,4894,Yerrampalem,యర్రంపాలెం,transliterated,587100,533284,,
Andhra Pradesh,Kakinada,746,Gandepalli,4904,Yerrampalem,యర్రంపాలెం,transliterated,587373,533437,,
Andhra Pradesh,Polavaram,791,Chinturu,4732,Yerrampeta,యెర్రంపేట,authoritative,579198,533352,,
Andhra Pradesh,Eluru,748,Koyyalagudem,4952,Yerrampeta,యెర్రంపేట,authoritative,588163,534312,,
Andhra Pradesh,Polavaram,791,Y. Ramavaram,4886,Yerramreddipalem,యెర్రమ్రెడ్డిపాలెం,authoritative,586771,533428,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Varikuntapadu,5155,Yerramreddipalle,యర్రంరెడ్డిపల్లె,transliterated,591649,524236,,
Andhra Pradesh,Alluri Sitharama Raju,745,Chinthapalli,4849,Yerranabilli,యెర్రనబిల్లి,transliterated,585314,531111,,
Andhra Pradesh,Annamayya,753,Rayachoti,5239,Yerranagupalle,యెర్రనగుపల్లె,transliterated,593530,516269,,
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Yerrapalem,యెర్రపాలెం,transliterated,930532,524121,,
Andhra Pradesh,Parvathipuram Manyam,743,Makkuva,4813,Yerrasamanthula Valasa,యెర్రసమంతుల వలస,transliterated,582187,535547,,
Andhra Pradesh,Annamayya,753,Thamballapalle,5368,Yerrasanipalle,యెర్రసానిపల్లె,authoritative,595625,517418,,
Andhra Pradesh,Ananthapuramu,502,Guntakal,5309,Yerrathimmarayachervu,యెర్రతిమ్మరాయచెరువు,authoritative,594728,515401,,
Andhra Pradesh,Srikakulam,519,Ranastalam,4805,Yerravaram,యెర్రవరం,authoritative,581659,532407,,
Andhra Pradesh,Alluri Sitharama Raju,745,Chinthapalli,4849,Yerravaram,యెర్రవరం,authoritative,585293,531111,,
Andhra Pradesh,Alluri Sitharama Raju,745,Gudem Kotha Veedhi,4850,Yerravaram,యెర్రవరం,authoritative,585535,531133,,
Andhra Pradesh,Anakapalli,744,Atchuthapuram,4878,Yerravaram,యెర్రవరం,authoritative,586378,531033,,
Andhra Pradesh,Anakapalli,744,Yelamanchili,4879,Yerravaram,యెర్రవరం,authoritative,586416,531055,,
Andhra Pradesh,Kakinada,746,Yeleswaram,4893,Yerravaram,యెర్రవరం,authoritative,587066,533435,,
